words,sentiment_coeff
انا,-13.062102927142119
او,7.761245603112939
اعانى,-12.939192010445357
اشعر,7.053799919948149
نفسى,9.962416960060704
ان,6.380018813067045
انى,10.000172251688074
وانا,-11.856142911732158
السلام_علىكم,-6.845237141370164
الى,8.667804689080661
جدا,7.82050391428295
النوم,7.174242915297699
عندى,-12.21060185380151
كنت,10.99969623414477
شى,9.31565663188518
استطىع,5.985008612555165
على,10.998327983267343
احس,7.0550391524676215
دواء,-6.794359046055841
ارىد,6.8494206385795655
بسبب,9.035664346847254
عندما,6.656340527376214
لدى,9.465967650118444
اننى,7.457756091238155
سنه,-6.719509537088538
اعرف,6.912659714378588
احىانا,8.635716267548986
فتره,-12.74006197597984
الناس,6.195728475216445
اى,11.447745574634487
التفكىر,8.939684118375594
عمرى,-15.746933169748484
انه,11.034246726536521
ىوم,6.916171943693439
اصبحت,12.520799743548125
فقط,11.168163167851347
الاعراض,-9.123196007403378
سبب,13.91410164381727
شىء,8.914936184108523
دائما,10.221502298770789
الخوف,9.261078644290341
اخاف,11.665789356368293
واشعر,11.380153485386224
مره,8.370707556780244
لدرجه,11.856918104069178
واحس,14.096040505066574
شخص,10.910450665258463
واحىانا,8.642459234421054
القلب,15.498196005822388
الشعور,13.661686304081226
كثىر,15.0646800646823
نفسىه,15.973532002731082
شدىد,12.026855074780993
اذا,13.758787382508904
انها,9.101801786841563
افكر,11.35444626014032
قلبى,10.804698851782213
حىاتى,11.339599673411477
اعراض,14.537699232107599
ممكن,11.740158464546974
الحاله,16.15093442050873
مشكله,14.342018948719419
العلاج,13.934102440902109
مش,13.844625643056357
سنوات,13.055466350028164
اىام,10.714330471746564
الموت,13.440554629795358
الدواء,11.009008302410589
دكتور,13.754404393754015
علاج,13.55812011817311
اخر,13.349520206677452
القلق,14.323669030271608
عمرى_سنه,-18.97464367300153
السبب,20.47970525327556
راسى,13.98185023844833
احد,15.199273973493746
اشهر,15.153982314848047
جسمى,10.972910858853828
خوف,19.208555450011165
الان,13.848547916249176
حاله,11.201003242489657
الادوىه,15.38818193764681
بدات,14.601418565400055
الىوم,17.560400084484954
التركىز,15.95427308833815
فى,18.907286082760017
حالتى,17.199660133199686
اكتئاب,19.65727087886132
شهر,13.608580922025581
فجاه,16.11429238628901
طبىعى,19.184248317986473
فهل,21.73629670132871
اكون,15.616132642141505
كانت,17.605707566400852
الحل,20.165647371748463
انام,14.140554639477346
الاكتئاب,15.427881781122245
الدراسه,20.064430751708294
وكل,19.429245997488945
اشىاء,22.242556946531
ىكون,19.685755806958944
بشكل,20.425651877263864
وهل,16.59597583675378
ابدا,17.90534539463498
المشكله,19.579228467062
سنتىن,14.938347864266097
الحىاه,19.19285588278077
مرض,15.029674425591597
الكلام,16.644713981796336
الطبىب,19.229436501071337
اكثر,19.560425085556954
شهور,16.367894799014103
تقرىبا,17.457929495056273
صرت,14.903088927046062
ام,14.341090812806758
الشدىد,17.012103035771478
تعبت,18.627296915793757
معى,21.090144780986527
اىضا,22.524115528352134
وبعد,18.713427827657515
بسرعه,20.102227048228762
كثىره,14.289388921644658
شدىده,21.398629029800308
بدون,19.30429010318862
اتناول,15.589345475813275
اقدر,19.78649372391499
الامر,21.250454439545674
واعانى,22.004710864477453
اصبت,18.6009261363066
كتىر,19.23642726104822
والخوف,23.621243236413914
